time,open,high,low,close,Volume
2024-08-03,935742057188,945450470919,895287811738,909921118654,127068377848.48793
2024-08-04,910181849399,920985681742,845700021081,864814154793,90749226534.44142
2024-08-05,862945004532,868418197612,721813128724,802975120858,307058548915.19617
2024-08-06,805711037897,855633890634,804787560634,833367516926,205453767368.36926
2024-08-07,833925337974,868095438520,801754642047,817407570351,137915778221.25037
2024-08-08,818019573852,908274641044,808347081147,898794732853,136621778746.22125
2024-08-09,899204982923,906889133928,862729522295,880132623463,127191751521.38391
2024-08-10,880484801752,896296869368,872274710078,884940173286,81816114777.99611
2024-08-11,884966124356,907818470341,851311695418,855016772356,60008775994.73043
2024-08-12,855336486981,901624423398,846941068811,890306683010,98884412166.9482
2024-08-13,890911667382,902005957386,867954460611,892178520382,106239410997.86478
2024-08-14,892468896092,911474865348,872883430629,882779697250,92892230180.1427
2024-08-15,883338531678,892828412780,849420341295,863736227525,94360993108.82402
2024-08-16,864160598833,880480622232,851363602650,865814075684,100146305267.09698
2024-08-17,866154905014,881333765818,862261323519,876443032952,71373809448.76816
2024-08-18,876517792911,894431714909,867574047788,873324067344,55921781824.54012
2024-08-19,873544156966,893069229190,862563736724,887900480287,70691569221.8715
2024-08-20,888690052002,911502050275,873433085006,884704047374,85270488366.42714
2024-08-21,884966013808,910459830117,870695499222,899834761295,83424199083.41875
2024-08-22,900294073654,913128111883,887516468714,904985169339,97402779372.81989
2024-08-23,904935188419,952888396626,901255751396,943627124983,77293857329.62436
2024-08-24,944295536958,967002067188,930997598936,948397631237,117414977982.0246
2024-08-25,948585262714,955424575740,926492789526,938302840981,82990416030.04932
2024-08-26,938675703090,945516758555,909231552394,914270246395,75889518272.03242
2024-08-27,914241832427,927011293813,852006002338,867736405531,92558744523.51582
2024-08-28,867638681784,891040521828,849435181799,873637716996,129969732420.32526
2024-08-29,873789258959,894473095433,862449207193,870991995351,103987274716.9696
2024-08-30,871051696012,879491048869,843958190529,869981457707,90528552395.27844
2024-08-31,870166602924,875315524930,858188241436,863986442608,77707939371.93413
2024-09-01,864137298882,866246292805,830466236963,836804156750,50920789428.50015
2024-09-02,836938822963,870295486568,832142206785,864499009328,85442713970.32375
2024-09-03,864344442945,872962650460,833070255892,836092015705,67121519312.1514
2024-09-04,835838860809,856131631190,805565058776,843226555299,97149378151.33868
2024-09-05,841433042075,848608943294,816496446959,824000478926,86261438585.36972
2024-09-06,825680212935,838537364365,775526662204,796787888363,91869037839.2091
2024-09-07,796931829454,819349391164,793843373887,808960791796,122425599499.75359
2024-09-08,809037202507,828512923306,802473693941,820127078035,54024816108.66803
2024-09-09,820288215429,849972018205,813809376088,842087262387,72872158067.42096
2024-09-10,842080143206,856114556010,831458418487,849567195407,94981164245.83035
2024-09-11,849657132284,855246655588,819796967653,841095528708,86536296830.088
2024-09-12,841795783512,862938894875,836869305903,854253218460,90895976214.13776
2024-09-13,854336489178,879915442970,843236084630,872855592966,78351093247.86424
